1	-0.1999749
2	-0.1996751
3	-0.1993753
4	-0.1990755
5	-0.1987757
6	-0.1984759
7	-0.1981761
8	-0.1978763
9	-0.1975764
10	-0.1972766
11	-0.1969768
12	-0.196677
13	-0.1963772
14	-0.1960774
15	-0.1957776
16	-0.1954778
17	-0.1951779
18	-0.1948781
19	-0.1945783
20	-0.1942785
21	-0.1939787
22	-0.1936789
23	-0.1933791
24	-0.1930793
25	-0.1927794
26	-0.1924796
27	-0.1921798
28	-0.19188
29	-0.1915802
30	-0.1912804
31	-0.1909806
32	-0.1906808
33	-0.1903809
34	-0.1900811
35	-0.1897813
36	-0.1894815
37	-0.1891817
38	-0.1888819
39	-0.1885821
40	-0.1882823
41	-0.1879824
42	-0.1876826
43	-0.1873828
44	-0.187083
45	-0.1867832
46	-0.1864834
47	-0.1861836
48	-0.1858838
49	-0.1855839
50	-0.1852841
51	-0.1849843
52	-0.1846845
53	-0.1843847
54	-0.1840849
55	-0.1837851
56	-0.1834853
57	-0.1831854
58	-0.1828856
59	-0.1825858
60	-0.182286
61	-0.1819862
62	-0.1816864
63	-0.1813866
64	-0.1810867
65	-0.1807869
66	-0.1804871
67	-0.1801873
68	-0.1798875
69	-0.1795877
70	-0.1792879
71	-0.1789881
72	-0.1786883
73	-0.1783884
74	-0.1780886
75	-0.1777888
76	-0.177489
77	-0.1771892
78	-0.1768894
79	-0.1765896
80	-0.1762898
81	-0.1759899
82	-0.1756901
83	-0.1753903
84	-0.1750905
85	-0.1747907
86	-0.1744909
87	-0.1741911
88	-0.1738913
89	-0.1735914
90	-0.1732916
91	-0.1729918
92	-0.172692
93	-0.1723922
94	-0.1720924
95	-0.1717926
96	-0.1714928
97	-0.1711929
98	-0.1708931
99	-0.1705933
100	-0.1702935
101	-0.1699937
102	-0.1696939
103	-0.1693941
104	-0.1690942
105	-0.1687944
106	-0.1684946
107	-0.1681948
108	-0.167895
109	-0.1675952
110	-0.1672954
111	-0.1669956
112	-0.1666958
113	-0.1663959
114	-0.1660961
115	-0.1657963
116	-0.1654965
117	-0.1651967
118	-0.1648969
119	-0.1645971
120	-0.1642973
121	-0.1639974
122	-0.1636976
123	-0.1633978
124	-0.163098
125	-0.1627982
126	-0.1624984
127	-0.1621986
128	-0.1618988
129	-0.1615989
130	-0.1612991
131	-0.1609993
132	-0.1606995
133	-0.1603997
134	-0.1600999
135	-0.1598001
136	-0.1595003
137	-0.1592004
138	-0.1589006
139	-0.1586008
140	-0.158301
141	-0.1580012
142	-0.1577014
143	-0.1574016
144	-0.1571018
145	-0.1568019
146	-0.1565021
147	-0.1562023
148	-0.1559025
149	-0.1556027
150	-0.1553029
151	-0.1550031
152	-0.1547033
153	-0.1544034
154	-0.1541036
155	-0.1538038
156	-0.153504
157	-0.1532042
158	-0.1529044
159	-0.1526046
160	-0.1523048
161	-0.1520049
162	-0.1517051
163	-0.1514053
164	-0.1511055
165	-0.1508057
166	-0.1505059
167	-0.1502061
168	-0.1499062
169	-0.1496064
170	-0.1493066
171	-0.1490068
172	-0.148707
173	-0.1484072
174	-0.1481074
175	-0.1478076
176	-0.1475078
177	-0.1472079
178	-0.1469081
179	-0.1466083
180	-0.1463085
181	-0.1460087
182	-0.1457089
183	-0.1454091
184	-0.1451093
185	-0.1448094
186	-0.1445096
187	-0.1442098
188	-0.14391
189	-0.1436102
190	-0.1433104
191	-0.1430106
192	-0.1427108
193	-0.1424109
194	-0.1421111
195	-0.1418113
196	-0.1415115
197	-0.1412117
198	-0.1409119
199	-0.1406121
200	-0.1403123
201	-0.1400124
202	-0.1397126
203	-0.1394128
204	-0.139113
205	-0.1388132
206	-0.1385134
207	-0.1382136
208	-0.1379137
209	-0.1376139
210	-0.1373141
211	-0.1370143
212	-0.1367145
213	-0.1364147
214	-0.1361149
215	-0.1358151
216	-0.1355153
217	-0.1352154
218	-0.1349156
219	-0.1346158
220	-0.134316
221	-0.1340162
222	-0.1337164
223	-0.1334166
224	-0.1331168
225	-0.1328169
226	-0.1325171
227	-0.1322173
228	-0.1319175
229	-0.1316177
230	-0.1313179
231	-0.1310181
232	-0.1307183
233	-0.1304184
234	-0.1301186
235	-0.1298188
236	-0.129519
237	-0.1292192
238	-0.1289194
239	-0.1286196
240	-0.1283198
241	-0.1280199
242	-0.1277201
243	-0.1274203
244	-0.1271205
245	-0.1268207
246	-0.1265209
247	-0.1262211
248	-0.1259212
249	-0.1256214
250	-0.1253216
251	-0.1250218
252	-0.124722
253	-0.1244222
254	-0.1241224
255	-0.1238226
256	-0.1235228
257	-0.1232229
258	-0.1229231
259	-0.1226233
260	-0.1223235
261	-0.1220237
262	-0.1217239
263	-0.1214241
264	-0.1211243
265	-0.1208244
266	-0.1205246
267	-0.1202248
268	-0.119925
269	-0.1196252
270	-0.1193254
271	-0.1190256
272	-0.1187258
273	-0.1184259
274	-0.1181261
275	-0.1178263
276	-0.1175265
277	-0.1172267
278	-0.1169269
279	-0.1166271
280	-0.1163273
281	-0.1160274
282	-0.1157276
283	-0.1154278
284	-0.115128
285	-0.1148282
286	-0.1145284
287	-0.1142286
288	-0.1139288
289	-0.1136289
290	-0.1133291
291	-0.1130293
292	-0.1127295
293	-0.1124297
294	-0.1121299
295	-0.1118301
296	-0.1115303
297	-0.1112304
298	-0.1109306
299	-0.1106308
300	-0.110331
301	-0.1100312
302	-0.1097314
303	-0.1094316
304	-0.1091318
305	-0.1088319
306	-0.1085321
307	-0.1082323
308	-0.1079325
309	-0.1076327
310	-0.1073329
311	-0.1070331
312	-0.1067333
313	-0.1064334
314	-0.1061336
315	-0.1058338
316	-0.105534
317	-0.1052342
318	-0.1049344
319	-0.1046346
320	-0.1043348
321	-0.1040349
322	-0.1037351
323	-0.1034353
324	-0.1031355
325	-0.1028357
326	-0.1025359
327	-0.1022361
328	-0.1019363
329	-0.1016364
330	-0.1013366
331	-0.1010368
332	-0.100737
333	-0.1004372
334	-0.1001374
335	-0.09983756
336	-0.09953775
337	-0.09923794
338	-0.09893813
339	-0.09863832
340	-0.0983385
341	-0.09803869
342	-0.09773888
343	-0.09743907
344	-0.09713925
345	-0.09683944
346	-0.09653963
347	-0.09623981
348	-0.09594
349	-0.09564019
350	-0.09534038
351	-0.09504057
352	-0.09474076
